Date,Name,Year,Letterboxd URI,Rating
2024-10-12,Children of Men,2006,https://boxd.it/1Y2i,4
2024-10-14,The Thomas Crown Affair,1968,https://boxd.it/29iw,4
2024-10-20,Soylent Green,1973,https://boxd.it/1SxE,3.5
2024-10-26,The Exorcist,1973,https://boxd.it/1Yoo,4
2024-10-27,Dark Star,1974,https://boxd.it/28Ow,3
2024-11-09,There Will Be Blood,2007,https://boxd.it/20Z2,4
2024-11-09,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,5
2024-11-09,12 Angry Men,1957,https://boxd.it/2auI,5
2024-11-09,The Wailing,2016,https://boxd.it/9fLy,4.5
2024-11-11,Lost in Translation,2003,https://boxd.it/2b0E,4
2024-11-18,Harakiri,1962,https://boxd.it/1NTU,4.5
2024-11-24,Three Days of the Condor,1975,https://boxd.it/1SF4,3.5
2024-12-10,Yojimbo,1961,https://boxd.it/1SRY,4
2024-12-27,The Living Daylights,1987,https://boxd.it/29Le,4
2024-12-27,The Getaway,1972,https://boxd.it/22lS,3.5
2024-12-29,Blade Runner,1982,https://boxd.it/2bcA,5
2024-12-29,Strange Days,1995,https://boxd.it/2aGO,4
2024-12-29,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2024-12-29,John Wick,2014,https://boxd.it/7dEc,4
2025-01-04,Casablanca,1942,https://boxd.it/2aG0,4.5
2025-01-05,Colossus: The Forbin Project,1970,https://boxd.it/1Nmw,4
2025-01-06,Broken Flowers,2005,https://boxd.it/2aCW,4
2025-01-13,Decoder,1984,https://boxd.it/3bUE,3
2025-01-19,David Lynch: The Art Life,2016,https://boxd.it/eASq,4
2025-01-19,Eraserhead,1977,https://boxd.it/299u,5
2025-01-19,From Russia with Lev,2024,https://boxd.it/QcI8,3.5
2025-01-19,The Searchers,1956,https://boxd.it/25HC,4.5
2025-01-19,The Conversation,1974,https://boxd.it/2a38,4
2025-01-19,Ronin,1998,https://boxd.it/20wa,3.5
2025-01-19,Shadow of a Doubt,1943,https://boxd.it/1BtA,4.5
2025-01-19,The Long Goodbye,1973,https://boxd.it/281O,4
2025-01-19,The Ninth Configuration,1980,https://boxd.it/1G4q,3.5
2025-01-19,Confessions of a Dangerous Mind,2002,https://boxd.it/23Gi,3.5
2025-01-19,Bullitt,1968,https://boxd.it/29i2,4.5
2025-01-20,Blue Velvet,1986,https://boxd.it/29BI,4.5
2025-01-25,Nosferatu,2024,https://boxd.it/f5eG,3.5
2025-01-26,Wild at Heart,1990,https://boxd.it/2aii,4
2025-02-01,Tombstone,1993,https://boxd.it/1SE6,4
2025-02-08,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,3
2025-02-09,The Terminator,1984,https://boxd.it/2aQY,4
2025-02-15,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4
2025-02-24,To Catch a Thief,1955,https://boxd.it/2avm,3
2025-03-02,Good Will Hunting,1997,https://boxd.it/2ahY,4
2025-03-11,The Toxic Avenger,1984,https://boxd.it/1MAi,2
2025-03-13,Heat,1995,https://boxd.it/2bg8,4.5
2025-03-14,The Man from Earth,2007,https://boxd.it/1Ql2,3
2025-03-23,Split Second,1992,https://boxd.it/1R2q,3
2025-03-23,Trancers,1984,https://boxd.it/22Ma,3.5
2025-03-28,Westworld,1973,https://boxd.it/26RS,3.5
2025-03-30,The Spy Who Came In from the Cold,1965,https://boxd.it/1PQS,3.5
2025-03-31,Collateral,2004,https://boxd.it/28F0,3.5
2025-03-31,Vanishing Point,1971,https://boxd.it/1SH0,3
2025-03-31,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,2.5
2025-03-31,Godzilla Minus One,2023,https://boxd.it/zu4c,3
2025-03-31,The Matrix,1999,https://boxd.it/2a1m,4
2025-04-06,Last Action Hero,1993,https://boxd.it/1YhW,3.5
2025-04-13,Blue Ruin,2013,https://boxd.it/5H8G,3.5
2025-04-13,Universal Soldier,1992,https://boxd.it/1YUa,2.5
2025-04-19,Commando,1985,https://boxd.it/1UTs,3.5
2025-04-27,Nighthawks,1981,https://boxd.it/1BCs,3.5
2025-05-04,Eastern Promises,2007,https://boxd.it/275q,3.5
2025-05-10,Heretic,2024,https://boxd.it/H1lY,3.5
2025-05-17,Minority Report,2002,https://boxd.it/2aWi,3.5
2025-05-25,My Darling Clementine,1946,https://boxd.it/25LE,4
2025-05-26,Onibaba,1964,https://boxd.it/252a,4
2025-06-10,The Holy Mountain,1973,https://boxd.it/20mu,3.5
2025-06-12,Warfare,2025,https://boxd.it/LbRo,4
2025-06-13,The Big Heat,1953,https://boxd.it/1NNM,4
2025-06-14,Swallow,2019,https://boxd.it/lA0i,3
2025-06-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2025-06-23,American Made,2017,https://boxd.it/bb66,3.5
2025-06-24,The Phoenician Scheme,2025,https://boxd.it/H0Ca,4.5
2025-06-25,The French Connection,1971,https://boxd.it/296g,4
2025-07-05,Drive,2011,https://boxd.it/IG,4.5
2025-07-06,Gun Crazy,1950,https://boxd.it/1Gw0,3.5
2025-07-12,Elephant,2003,https://boxd.it/287i,3
2025-07-13,EuroTrip,2004,https://boxd.it/1YTQ,4.5
2025-07-20,The Shrouds,2024,https://boxd.it/AEZa,3.5
2025-07-28,Stagecoach,1939,https://boxd.it/297S,4
2025-08-04,Lord of War,2005,https://boxd.it/284y,3
2025-08-10,Sunset Boulevard,1950,https://boxd.it/2a20,4
2025-08-18,The Substance,2024,https://boxd.it/zanS,3.5
2025-08-23,Ad Astra,2019,https://boxd.it/ePzI,3.5
2025-08-24,Lost Highway,1997,https://boxd.it/29Wc,4
2025-09-14,A Boy and His Dog,1975,https://boxd.it/23FO,3
2025-09-14,Notorious,1946,https://boxd.it/2aDK,4
2025-09-28,Alphaville,1965,https://boxd.it/20AG,3
2025-10-05,Wolfs,2024,https://boxd.it/x6zG,3.5
2025-10-12,Deliverance,1972,https://boxd.it/1VGk,4
2025-10-18,Maximum Overdrive,1986,https://boxd.it/1XnO,2.5
2025-10-26,Goodnight Mommy,2014,https://boxd.it/8Niy,3.5
2025-11-01,The Babadook,2014,https://boxd.it/77xu,3
2025-11-01,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,3
2025-11-01,Suspiria,1977,https://boxd.it/1SNW,4
2025-11-02,Dawn of the Dead,1978,https://boxd.it/29gU,4.5
